,index,Emotion,Statement
0,4223,guilt,"Once when I was in the cell group (religious activity) I found  
that almost everyone in the group read the bible daily and I felt  
guilty in my heart."
1,6988,shame,"When I overslept for the second time on the day I had an  
examination."
2,6834,shame,"I had not punched a ticket in the bus because I had a card. But  
when the ticket-collector came it turned out that I had forgotten  
it. The shame I felt was great though it was not done on purpose."
3,1524,disgust,"When a man spoke very sexistly in the company of some friends of  
mine."
4,7140,shame,"About a dozen girls laughed at me and I was sure that there was  
nothing wrong with me."
5,2907,fear,When I was left alone at home one night by my brother.
6,1018,anger,Misunderstood by friends.
7,7293,shame,"When I was in the 12th standard, I could not speak English.  One  
day, while  talking with my relatives I used a wrong word and   
my cousin corrected me, believing that I did not know English.  I  
really felt ashamed then. 
"
8,2358,fear,"When I was a child I was afraid of big dogs. One day when I came  
home a big dog was laying in front of our door. I was so  
frightened that I did not dare to enter the door and I waited  
until somebody passed by."
9,4108,guilt,"Our Headmaster came to our hostel. The lights were off but there  
was a lot of noise. We shouted at him when he knocked at our  
door. We later saw that it was the Headmaster."
10,206,anger,"My mother treated me unjustly as if I was a little child. I said  
mean things. I was unable to defend myself adequately."
11,3177,fear,When I forgot the lines of the play during an orientation camp.
12,3926,guilt,When I was caught going out with another girl by my girlfriend.
13,4805,joy,The day I learnt that I had been admitted to the university.
14,5136,joy,"When I was a student at the Institute doing my M.Phil degree, one  
of my professors called me before the convocation and told me  
""You have got the gold-medal (first rank) in the university and  
tomorrow you will be on T.V""."
15,6250,sadness,"After studying a lot for my H.S.C exams, I could not make it to  
the medical stream and I felt sad about this."
16,5249,joy,My friend told me he really likes me.
17,1945,disgust,Bad temper of the serving lady in the students' dining hall.
18,1408,disgust,"I was travelling, we were 15 person, one of them I met at the  
travel and didn't like her. One night I was asleep while she and  
her friends were talking too loud in the kitchen. I got up to ask for  
silence and since that day I felt constant disgust for her."
19,722,anger,"When I was beaten up by thieves on behalf of some friends of mine  
as they thought that I had a lot of money and would not part  
with a few coins for their drinks."
20,251,anger,"I heard friends grumbling at me in an adjoining room, although  
they had behaved in a friendly way when I was present."
21,2439,fear,When I was caught in an elevator and it got stuck between floors.
22,1060,anger,"One day I had sunned my favourite shirt and was putting it back  
in the wardrobe when my younger brother snatched it from me and  
wore it.  He had not had a bath and was very dirty.  I scolded him  
but he answered back and locked himself up in a room.  I was very  
angry so I starteed kicking on the door and abusing him loudly  
and freely."
23,3550,guilt,"When I was starting in romance with my husband, we went out to  
curt, and we stayed in the car ""making love"". At the time I was  
seventeen and I was very immature until a day I lost my  
virginity."
24,5019,joy,When I passed successive exams to enter the school of medicine.
25,3190,fear,"I was not prepared for the exam but I wanted to sleep the night  
before the exam."
26,317,anger,"One day in a crossroad somebody crashed my car. I got out and  
this person laughed at me. I felt such a great anger that I got  
in my car and went away."
27,6147,sadness,"My grandmother died over the summer. I knew her very well, she  
baked great biscuits. She was in the hospital but expected to  
improve and go home soon. She died in her sleep."
